title,year,type,season,episode,watched_at,imdb_id
The Walking Dead,2010,tv,1,1,2011-09-01T14:44:00Z,tt1520211
The Walking Dead,2010,tv,1,2,2011-09-02T14:44:00Z,tt1520211
The Walking Dead,2010,tv,1,3,2011-09-03T14:44:00Z,tt1520211
The Walking Dead,2010,tv,2,1,2011-10-01T14:44:00Z,tt1520211
Breaking Bad,2008,tv,,,2013-10-01T20:00:00Z,tt0903747
Attack on Titan,2013,anime,1,1,2014-01-05T18:00:00Z,tt2560140
Attack on Titan,2013,anime,1,2,2014-01-06T18:00:00Z,tt2560140
John Wick,2014,movie,,,2015-02-11T21:30:00Z,tt2911666
Terminator 3: Rise of the Machines,2003,movie,,,2011-01-20T20:09:04Z,tt0181852
Severance,2022,tv,1,,2022-04-10T19:00:00Z,
